Position,Track Name,Artist,date,region,spotify_id
1,bad guy,Billie Eilish,2019-05-01,it,2Fxmhks0bxGSBdJ92vM42m
2,Verte Ir,DJ Luian,2019-05-01,it,4lzxJ4jCuFDXXGkE1LmpKR
3,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,2019-05-01,it,6u7jPi22kF8CTQ3rb9DHE7
4,Old Town Road,Lil Nas X,2019-05-01,it,53CJANUxooaqGOtdsBTh7O
5,Te Robaré,Nicky Jam,2019-05-01,it,6v0lAdFF4haL8xjBIUjtOw
6,Pensare Male (con Elodie),The Kolors,2019-05-01,it,0vUhEAJIaTGqBJfDsOZoNt
7,Rondini Al Guinzaglio,Ultimo,2019-05-01,it,1jhHPnmgZepKU8qX4VhRZ0
8,Piece Of Your Heart,MEDUZA,2019-05-01,it,5p1ex0pXv6jSPJ6QbumQpD
9,ARSENICO,AIELLO,2019-05-01,it,3jWXXk597CC7e8fT1ElB7I
10,Someone You Loved,Lewis Capaldi,2019-05-01,it,2TIlqbIneP0ZY1O0EzYLlc
11,Madama blu,Franco Ricciardi,2019-05-01,it,5ZRfTLphkmXIefQPO6MOxG
12,Worth It,YK Osiris,2019-05-01,it,4XiGKQqbmnMVxDzUj6j3f2
13,Panna (Parodia Calma),xMurry,2019-05-01,it,26xtuGGx0TPiuxrWw0PYkC
14,Kill This Love,BLACKPINK,2019-05-01,it,4pUCKHjJ4Ijewc37rRrvHn
15,Avengers: Endgame,Jared Moreno Luna,2019-05-01,it,2VT71gRDqRry2ApToLuvSt
16,Acqua su marte,Tormento,2019-05-01,it,0lzhCypEx5engAOUr7Vgev
17,Troppi sguardi,DANDY TURNER,2019-05-01,it,0ILoH9NjrtEXZVaVtcvc6l
18,tadb,rovere,2019-05-01,it,3q6CTHUI3qjRkq0YqosAdt
19,Per Un Milione,Boomdabash,2019-05-01,it,5L1HQLXeih82ecmY0tOH7w
20,"La Luna e la Gatta (feat. Tommaso Paradiso, Jovanotti, Calcutta)",Takagi & Ketra,2019-05-01,it,0swoHiwTazywpoqiKDUtGQ
21,Domenica,Coez,2019-05-01,it,2tVNMtgZ2CQpTx7vgcuTkL
22,Lautaro Martinez,Young Camel,2019-05-01,it,1nC4XA2yTdoUlfIHw0mP3u
