Position,Track Name,Artist,date,region,spotify_id
1,River (feat. Ed Sheeran),Eminem,2018-01-01,gr,5UEnHoDYpsxlfzWLZIc7LD
2,Him & I (with Halsey),G-Eazy,2018-01-01,gr,5k38wzpLb15YgncyWdTZE4
3,Stir Fry,Migos,2018-01-01,gr,4fndbjoz1qJyK6JcLdKfzm
4,Black & Chinese,Huncho Jack,2018-01-01,gr,628Ueb4sRiXApObhcU9iPU
5,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,2018-01-01,gr,7Ed6BkggCS2KaKY5YlINaF
6,Bartier Cardi (feat. 21 Savage),Cardi B,2018-01-01,gr,75FDPwaULRdYDn4StFN2rT
7,Bumpy Ride,Mohombi,2018-01-01,gr,4flXUmmCKe1GAAvIoptHq7
8,Modern Slavery,Huncho Jack,2018-01-01,gr,7J6bnDDitOwfelaJNixHhL
9,Mr. Saxobeat - Radio Edit,Alexandra Stan,2018-01-01,gr,4zIaXqKCXZs02eB6jEe5Mf
10,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,2018-01-01,gr,33bnxcjePIkcmNjEFTJX0l
11,Huncho Jack,Huncho Jack,2018-01-01,gr,5vuiHi3QYbwcm1OKJOYnrf
12,PICK IT UP (feat. A$AP Rocky),Famous Dex,2018-01-01,gr,3ncgNpxLoBQ65ABk4djDyd
13,Codeine Dreaming (feat. Lil Wayne),Kodak Black,2018-01-01,gr,4DTpngLjoHj5gFxEZFeD3J
14,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,2018-01-01,gr,0OI7AFifLSoGzpb8bdBLLV
15,Ice Tray,Quality Control,2018-01-01,gr,3wdfLVUhmX64lIyWIIEW8s
16,The Race - Remix,Tay-K,2018-01-01,gr,7d19457woBxmPRCq255YqM
17,Go,Huncho Jack,2018-01-01,gr,4RgoqOBE34Q6zZj8K7RUAx
18,Sucker for You,Matt Terry,2018-01-01,gr,4vkVvmjIiQibQ6zJnC1Q9z
19,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),Anitta,2018-01-01,gr,6u0EAxf1OJTLS7CvInuNd7
20,How U Feel,Huncho Jack,2018-01-01,gr,7CWiWkccuRRdrmaW6AjVEf
21,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,2018-01-01,gr,0OlnLZY4cmQzT6ZGttvWBM
22,Να 'Σαι Καλά,Padelis Padelidis,2018-01-01,gr,3G0XUKCc4Gy8KAJD2Hsk7n
23,Thunder / Young Dumb & Broke (with Khalid) - Medley,Imagine Dragons,2018-01-01,gr,7ER7vcy7u2ajg5IV45WBFw
24,9,SNIK,2018-01-01,gr,33p2553u3Zvbh04PidSRSD
25,Real Friends,Camila Cabello,2018-01-01,gr,4V6MRo0CEAC9MwAm7dkPuL
26,The Weekend - Funk Wav Remix,SZA,2018-01-01,gr,0P6AWOA4LG1XOctzaVu5tt
27,Mall,Gucci Mane,2018-01-01,gr,0frzpcv2zCUk13mn0X824T
28,Gia Sena Eimai Edo,Vangelis Kakouriotis,2018-01-01,gr,0kmXW796JpGlNL1zzGafd0
29,Best Man,Huncho Jack,2018-01-01,gr,2hIFuoXhzcZGvmdtSE35lc
30,Havana,Camila Cabello,2018-01-01,gr,0ofbQMrRDsUaVKq2mGLEAb
31,Για Παράδειγμα,Nikos Oikonomopoulos,2018-01-01,gr,7LgVeB4ieYsgxQ57PAb5je
32,Epidi Me Xero,Natasa Theodoridou,2018-01-01,gr,59Lp0pYnLXGUIDomyRQO9e
33,Peek-A-Boo,Red Velvet,2018-01-01,gr,42tFTth2jcF7iSo0RBjfJF
34,Tell Me You Love Me,Demi Lovato,2018-01-01,gr,5Htb1uFQ1KrkFXlefS8oGj
35,Love's a Stranger,Warhaus,2018-01-01,gr,7xZeYL5wzHhpe6JSm8y65b
36,Icon,Jaden,2018-01-01,gr,22nyEAEM29tcBRhukR089b
37,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",Meek Mill,2018-01-01,gr,3i1B1PnsfnOQPGVIzhf1lr
38,Petao,Yannis Christodoulopoulos,2018-01-01,gr,45WRSEX5cqHRqFR62C99j6
39,Lady (Hear Me Tonight),Modjo,2018-01-01,gr,6ynDLZeJjR2XitUKhS7KKW
40,Έτσι Κι Έτσι,Helena Paparizou,2018-01-01,gr,6afC8zWRpRBnifPzHaFW1L
41,Sober,G-Eazy,2018-01-01,gr,3qk4wRMDlaeagZGjSYbsOV
42,Eimai Allou,Melisses,2018-01-01,gr,3IC6ND2tQKXhP3JdD5jKDl
43,Gucci Gang,Lil Pump,2018-01-01,gr,43ZyHQITOjhciSUUNPVRHc
44,Runaway,Sasha Sloan,2018-01-01,gr,122lxLiuCUAdpaGOk2KSbe
45,rockstar,Post Malone,2018-01-01,gr,7wGoVu4Dady5GV0Sv4UIsx
46,Αν Είναι Να ΄ρθεις,Nikos Oikonomopoulos,2018-01-01,gr,3lvG5AsLGb2v0dNhNEF9GU
47,Man's Not Hot,Big Shaq,2018-01-01,gr,2nUJvBO87SkxCViQsLc9Zr
48,Without You,The Lidls,2018-01-01,gr,5ak3ZwyjRdwABZQfovFcZG
49,Been Through,EXO,2018-01-01,gr,5pesNiBKAx8JNwK2mQ2HEc
50,End Game,Taylor Swift,2018-01-01,gr,2x0WlnmfG39ZuDmstl9xfX
1,Him & I (with Halsey),G-Eazy,2018-01-02,gr,5k38wzpLb15YgncyWdTZE4
2,River (feat. Ed Sheeran),Eminem,2018-01-02,gr,5UEnHoDYpsxlfzWLZIc7LD
3,Stir Fry,Migos,2018-01-02,gr,4fndbjoz1qJyK6JcLdKfzm
4,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,2018-01-02,gr,7Ed6BkggCS2KaKY5YlINaF
5,Bartier Cardi (feat. 21 Savage),Cardi B,2018-01-02,gr,75FDPwaULRdYDn4StFN2rT
6,Black & Chinese,Huncho Jack,2018-01-02,gr,628Ueb4sRiXApObhcU9iPU
7,Bumpy Ride,Mohombi,2018-01-02,gr,4flXUmmCKe1GAAvIoptHq7
