Position,Track Name,Artist,Streams,date,region,spotify_id
1,Wow.,Post Malone,45079,2019-01-04--2019-01-11,gr,6MWtB6iiXyIwun0YzU6DFP
2,Without Me,Halsey,40635,2019-01-04--2019-01-11,gr,5p7ujcrUXASCNwRaWNHR1C
3,"thank u, next",Ariana Grande,37361,2019-01-04--2019-01-11,gr,2rPE9A1vEgShuZxxzR2tZH
4,SICKO MODE,Travis Scott,34076,2019-01-04--2019-01-11,gr,2xLMifQCjDGFmkHkpNLD9h
5,Going Bad (feat. Drake),Meek Mill,32493,2019-01-04--2019-01-11,gr,2IRZnDFmlqMuOrYOLnZZyc
6,ZEZE (feat. Travis Scott & Offset),Kodak Black,32187,2019-01-04--2019-01-11,gr,0FZ4Dmg8jJJAPJnvBIzD9z
7,Mo Bamba,Sheck Wes,28757,2019-01-04--2019-01-11,gr,1xzBco0xcoJEDXktl7Jxrr
8,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,27773,2019-01-04--2019-01-11,gr,4w8niZpiMy6qz1mntFA5uM
9,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,27750,2019-01-04--2019-01-11,gr,3KkXRkHbMCARz0aVfEt68P
10,Shallow,Lady Gaga,27571,2019-01-04--2019-01-11,gr,2VxeLyX666F8uXCJ0dZF8B
11,Sweet but Psycho,Ava Max,22813,2019-01-04--2019-01-11,gr,25sgk305KZfyuqVBQIahim
12,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,22481,2019-01-04--2019-01-11,gr,2LskIZrCeLxRvCiGP8gxlh
13,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,21978,2019-01-04--2019-01-11,gr,27rdGxbavYJeBphck5MZAF
14,High Hopes,Panic! At The Disco,21530,2019-01-04--2019-01-11,gr,1rqqCSm0Qe4I9rUvWncaom
15,Better Now,Post Malone,21257,2019-01-04--2019-01-11,gr,7dt6x5M1jzdTEt8oCbisTK
16,SAD!,XXXTENTACION,20291,2019-01-04--2019-01-11,gr,3ee8Jmje8o58CHK66QrVC2
17,rockstar (feat. 21 Savage),Post Malone,19883,2019-01-04--2019-01-11,gr,0e7ipj03S05BNilyu5bRzt
18,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,19659,2019-01-04--2019-01-11,gr,5JEx7HbmvHQQswJCsoo9rA
19,GANGO,SNIK,19658,2019-01-04--2019-01-11,gr,0szvRsnq2OTYhZwQUKX3Bt
20,when the party's over,Billie Eilish,19404,2019-01-04--2019-01-11,gr,14JzyD6FlBD5z0wV5P07YI
21,imagine,Ariana Grande,19316,2019-01-04--2019-01-11,gr,0todbbT9g5uQGbeFCiBf2F
22,Leave Me Alone,Flipp Dinero,19134,2019-01-04--2019-01-11,gr,14mHfNsSHN0FbLftyjrV9g
23,Look Back at It,A Boogie Wit da Hoodie,18740,2019-01-04--2019-01-11,gr,3Ol2xnObFdKV9pmRD2t9x8
24,I Like It,Cardi B,18582,2019-01-04--2019-01-11,gr,58q2HKrzhC3ozto2nDdN4z
25,Nonstop,Drake,18559,2019-01-04--2019-01-11,gr,0TlLq3lA83rQOYtrqBqSct
