Position,Track Name,Artist,Streams,date,region,spotify_id
1,Diego Armando Maradona,Dark Polo Gang,1377466,2018-01-05--2018-01-12,it,42budRHAm0QroIwreRwF1l
2,La musica non c'è,Coez,1073963,2018-01-05--2018-01-12,it,7MMJa7cjMadOSR6CFWvB1x
3,Irraggiungibile (feat. Federica Carta),Shade,956542,2018-01-05--2018-01-12,it,03PDOt4cRKQgpYfA9I9wnC
4,Havana,Camila Cabello,889675,2018-01-05--2018-01-12,it,0ofbQMrRDsUaVKq2mGLEAb
5,Perfect,Ed Sheeran,796637,2018-01-05--2018-01-12,it,0tgVpDi06FyKpA1z0VMD4v
6,rockstar,Post Malone,758704,2018-01-05--2018-01-12,it,7wGoVu4Dady5GV0Sv4UIsx
7,Amorevole,Dark Polo Gang,721466,2018-01-05--2018-01-12,it,6P8G8IZX5UbRPkrpWYYnIi
8,Échame La Culpa,Luis Fonsi,709007,2018-01-05--2018-01-12,it,1zsG4eaZmkA1dvjDDsAGLK
9,Chosen,Måneskin,682266,2018-01-05--2018-01-12,it,2lDgdWIGLYuk74pDeRPgPF
10,Fiori D'Erba,Dark Polo Gang,672295,2018-01-05--2018-01-12,it,1q6HvKuGrjQpzGc3ZNFsf6
11,PERDONAMI,Salmo,653272,2018-01-05--2018-01-12,it,7kK2m2KDEL0W8oFq6fuOcf
12,Leave a Light On,Tom Walker,617530,2018-01-05--2018-01-12,it,6lOWoTqVnAWXchddtTH31W
13,River (feat. Ed Sheeran),Eminem,593195,2018-01-05--2018-01-12,it,5UEnHoDYpsxlfzWLZIc7LD
14,Me Rehúso,Danny Ocean,591318,2018-01-05--2018-01-12,it,6De0lHrwBfPfrhorm9q1Xl
15,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,588760,2018-01-05--2018-01-12,it,1bhUWB0zJMIKr9yVPrkEuI
16,Fuck Gosha,Dark Polo Gang,585049,2018-01-05--2018-01-12,it,6jYhr8hIy1Rvjy3rZULRKm
17,Sconosciuti da una vita,J-AX,583481,2018-01-05--2018-01-12,it,2x82H3RSJRRQKZDMFlIpG3
18,New Rules,Dua Lipa,575055,2018-01-05--2018-01-12,it,2ekn2ttSfGqwhhate0LSR0
19,Luxory,Dark Polo Gang,574971,2018-01-05--2018-01-12,it,3R9RuYfstLF7MukyeplSC1
20,What Lovers Do (feat. SZA),Maroon 5,572375,2018-01-05--2018-01-12,it,3hBBKuWJfxlIlnd9QFoC8k
