Position,Track Name,Artist,Streams,date,region,spotify_id
1,Échame La Culpa,Luis Fonsi,1631939,2018-01-05--2018-01-12,es,1zsG4eaZmkA1dvjDDsAGLK
2,Sensualidad,Bad Bunny,1315539,2018-01-05--2018-01-12,es,5hcisvFMidkMJlElTO9Qmw
3,Corazón,Maluma,1225380,2018-01-05--2018-01-12,es,4lESS6vuruP6a79KWRaQou
4,Criminal,Natti Natasha,1130802,2018-01-05--2018-01-12,es,6Za3190Sbw39BBC77WSS1C
5,Mayores,Becky G,1070928,2018-01-05--2018-01-12,es,7JNh1cfm0eXjqFVOzKLyau
6,Downtown,Anitta,1013143,2018-01-05--2018-01-12,es,3Ga6eKrUFf12ouh9Yw3v2D
7,Se Preparó,Ozuna,1008245,2018-01-05--2018-01-12,es,1m69ELEgE6k5ZWsap40ozt
8,No vaya a ser,Pablo Alborán,915875,2018-01-05--2018-01-12,es,6ZZOdrcqRZzTCwGlsy00SU
9,Déjate Llevar,Juan Magán,903145,2018-01-05--2018-01-12,es,3xWEI23MLJrD0dpDcDUTW6
10,Perro Fiel (feat. Nicky Jam),Shakira,897936,2018-01-05--2018-01-12,es,70lnL3QaSOIIyMa2X9aVRL
11,Suena El Dembow,Joey Montana,872301,2018-01-05--2018-01-12,es,5TysCiZtv1HnSWcTcUFusI
12,New Rules,Dua Lipa,857307,2018-01-05--2018-01-12,es,2ekn2ttSfGqwhhate0LSR0
13,Havana,Camila Cabello,850214,2018-01-05--2018-01-12,es,0ofbQMrRDsUaVKq2mGLEAb
14,Báilame - Remix,Nacho,850072,2018-01-05--2018-01-12,es,3VClLWqNn80Llv0PJOsKgr
15,Bum Bum Tam Tam,MC Fioti,848651,2018-01-05--2018-01-12,es,4zWO4gvuFtw6EJZC5FFGlr
16,Me Rehúso,Danny Ocean,843800,2018-01-05--2018-01-12,es,6De0lHrwBfPfrhorm9q1Xl
17,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,790721,2018-01-05--2018-01-12,es,33bnxcjePIkcmNjEFTJX0l
18,rockstar,Post Malone,763990,2018-01-05--2018-01-12,es,7wGoVu4Dady5GV0Sv4UIsx
19,Havana - Remix,Camila Cabello,762512,2018-01-05--2018-01-12,es,3whrwq4DtvucphBPUogRuJ
20,Robarte un Beso,Carlos Vives,731072,2018-01-05--2018-01-12,es,0JcNysfWVWaMS7R6vzGB2k
21,Que Va,Alex Sensation,702242,2018-01-05--2018-01-12,es,7ofxPmTNMj2GP07g1VZa0O
22,SUTRA,Sebastian Yatra,692753,2018-01-05--2018-01-12,es,5TmZYdHW6HJ9gt7Aokuql5
23,Perfect,Ed Sheeran,690542,2018-01-05--2018-01-12,es,0tgVpDi06FyKpA1z0VMD4v
24,Chambea,Bad Bunny,677674,2018-01-05--2018-01-12,es,6ElmxV9B2mSNscEjP27M7i
25,Besos En Guerra,Morat,676792,2018-01-05--2018-01-12,es,1d0c62VFYauOOgxZ2eFUxx
26,Wolves,Selena Gomez,674419,2018-01-05--2018-01-12,es,7EmGUiUaOSGDnUUQUDrOXC
27,3 A.M.,Jesse & Joy,649341,2018-01-05--2018-01-12,es,0yyZN5ASdrYu0XYWFzfxUu
28,Shake It Out - Operación Triunfo 2017,Amaia,637999,2018-01-05--2018-01-12,es,5ElrWDZy0orxEMKmmiynKD
29,Vuelve,Daddy Yankee,626509,2018-01-05--2018-01-12,es,0lJCqIx5BhZtf6QtYI2fbv
30,Escápate Conmigo (feat. Ozuna),Wisin,625469,2018-01-05--2018-01-12,es,1KSqYYJFyfTecXFk9M0prc
31,Síguelo Bailando,Ozuna,609671,2018-01-05--2018-01-12,es,5Y9fnynLlIvqtM710MHzfz
32,Shape of You,Ed Sheeran,598186,2018-01-05--2018-01-12,es,7qiZfU4dY1lWllzX7mPBI3
33,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,595471,2018-01-05--2018-01-12,es,1bhUWB0zJMIKr9yVPrkEuI
34,Mi Gente,J Balvin,583872,2018-01-05--2018-01-12,es,2rb5MvYT7ZIxbKW5hfcHx8
35,Felices los 4,Maluma,583120,2018-01-05--2018-01-12,es,0qYTZCo5Bwh1nsUFGZP3zn
