Position,Track Name,Artist,date,region,spotify_id
1,Tusa,KAROL G,2020-01-01,es,7k4t7uLgtOxPwTpFmtJNTY
2,Falling,Trevor Daniel,2020-01-01,es,4TnjEaWOeW0eKTKIEvJyCa
3,Fuera De Mi Mente,Lérica,2020-01-01,es,7bsqRe39lKOYX45FZpzP9o
4,Alocao (With Bad Gyal),Omar Montes,2020-01-01,es,6RyuoOJXNzlVWpfC5xQyeI
5,Solteroski,Los Solteroski,2020-01-01,es,6JqfAWXo2rPNSWy9SDm9i3
6,Dance Monkey,Tones And I,2020-01-01,es,1rgnBhdG2JDFTbYkYRZAku
7,Blanco,J Balvin,2020-01-01,es,2rc7BkzO8qepMFAxHtOrXc
8,ROXANNE,Arizona Zervas,2020-01-01,es,696DnlkuDOXcMAnKlTgXXK
9,El Violador Eras Tu,El Perro,2020-01-01,es,2F7cYJoV7pwncBNA8LI1iq
10,No Idea,Don Toliver,2020-01-01,es,3VyjsVV24RmBIbWJAeUJNu
11,Pikete Italiano,KvndySwing,2020-01-01,es,7DeWChs7uIADAfwmdrUFPh
12,Vete,Bad Bunny,2020-01-01,es,5DxXgozhkPLgrbKFY91w0c
13,Perreo en La Luna,Rich Music LTD,2020-01-01,es,0RDgqtvOHLwcI6yz9bjsZV
14,RITMO (Bad Boys For Life),Black Eyed Peas,2020-01-01,es,6cy3ki60hLwimwIje7tALf
15,Easy - Remix,Jhay Cortez,2020-01-01,es,0Cn8NxJZz7zUlsaA3rXoIU
16,Solito (Lonely) [feat. Nicky Jam & Akon],Messiah,2020-01-01,es,0yxU21ecIK43OvBh4apONo
17,Se iluminaba,Fred De Palma,2020-01-01,es,3VPOZWtj8mM89IiRNygxgS
18,Habibi,La Cebolla,2020-01-01,es,0GugHAcaTXnPmxmflZCb62
19,A Dónde Vamos,Morat,2020-01-01,es,671sG3ETDxC3L6qcGIrHRM
20,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-01-01,es,0Q2n5yzl2XRqYbV77tZNYp
21,Hola - Remix,Dalex,2020-01-01,es,5stPVcRqb4qixbafP9e8lt
22,Loco por Verte,Los Hitmen,2020-01-01,es,7JUvz8eMJTJYJ1dHYUcK7y
23,Si Me Muero,JC Reyes,2020-01-01,es,3YywcVZhQR80VnecOeu7tg
24,Bellaquita - Remix,Dalex,2020-01-01,es,1Xnn1TPyr5h0hpRAT4B4EA
25,BOYFREN,LoveLeo,2020-01-01,es,2YJ7tTicU1vUmUjYNJROrv
26,Campanilleros,La Niña De La Puebla,2020-01-01,es,2Iw4G6qnwSA5Rex0zTcRbN
27,Blinding Lights,The Weeknd,2020-01-01,es,0sf12qNH5qcw8qpgymFOqD
28,"Mi padre es un elfo (Anuncio El Corte Inglés, 2018)",Toni M. Mir,2020-01-01,es,7IOfWlLpH93IBmtGecwgH1
29,Te Regalo,Carla Morrison,2020-01-01,es,2Ye46ZY2LKOQTPXaauQisB
30,Madroños al Niño,El Sorderas,2020-01-01,es,2BlefITU8R9a52hVMRUtxI
31,Indeciso,Reik,2020-01-01,es,59s0s39NFWScuHDbHytI14
32,Rueda,Chimbala,2020-01-01,es,71NGDQ9vSPXm55pyWeAxKK
33,El Burrito Sabanero - Tuki-Tuki Version,Marco Pastor Estelles,2020-01-01,es,0OlwVgiXo2qkwAI84wmTLj
34,The Box,Roddy Ricch,2020-01-01,es,0nbXyq5TXYPCO7pr3N8S4I
35,Si por mi fuera,Beret,2020-01-01,es,3W87IIdSOE63W0Qyhy7r2b
36,Whine Up,Nicky Jam,2020-01-01,es,2pWOMNQJW3g2zmGjP0Vkb0
37,Suave - Remix,Jey Blessing,2020-01-01,es,6K7V47wFpfam2aeE893rbL
38,Aventura,Lunay,2020-01-01,es,37zdqI4r1gswIzczSBkRon
39,No Vuelvas Más,Darell,2020-01-01,es,0mcBgVRVsvESTkEyVHt7Ue
40,Ella No Quiere Rosé,Rvfv,2020-01-01,es,6Aqeqb9rVNA1U6zuuxczQZ
41,Leña para el Carbón,J.Mastermix,2020-01-01,es,58Yyhhx7SWGNacGk1m4WUy
42,Escopeta,Deikirisy,2020-01-01,es,4QVGuSHz6gBTdPLWHBCAXf
43,Cada Una de Mis Canciones,Yer,2020-01-01,es,4lCo6J8mQHf2EoDc3pOtzL
44,Adore You,Harry Styles,2020-01-01,es,3jjujdWJ72nww5eGnfs2E7
45,Bullet,HYYTS,2020-01-01,es,17y5RWKyvdNeYF7bkM7wKv
46,Picaflor,Lao Ra,2020-01-01,es,3r5OlIxUKkh2ydNeYYh6tD
47,Mi Error - Remix,Eladio Carrion,2020-01-01,es,0lbhKycRyqkOMKZ6thzfU4
48,Birthday Suit,Cosmo Sheldrake,2020-01-01,es,5feuWfAXA4rEKH9pXCjOV2
49,Ya No Te Hago Falta,Sen Senra,2020-01-01,es,4RIi1gNmKDzSH04Vvws2DK
50,Fantasias,Rauw Alejandro,2020-01-01,es,6mAN61JH0dzyZpWslS11jy
1,Tusa,KAROL G,2020-01-02,es,7k4t7uLgtOxPwTpFmtJNTY
2,Falling,Trevor Daniel,2020-01-02,es,4TnjEaWOeW0eKTKIEvJyCa
3,Solteroski,Los Solteroski,2020-01-02,es,6JqfAWXo2rPNSWy9SDm9i3
4,Fuera De Mi Mente,Lérica,2020-01-02,es,7bsqRe39lKOYX45FZpzP9o
