Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,1051142,2017-01-06--2017-01-13,it,7qiZfU4dY1lWllzX7mPBI3
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,759626,2017-01-06--2017-01-13,it,5knuzwU65gJK7IF5yJsuaW
3,Castle on the Hill,Ed Sheeran,715171,2017-01-06--2017-01-13,it,6PCUP3dWmTjcTtXY02oFdT
4,Closer,The Chainsmokers,504232,2017-01-06--2017-01-13,it,7BKLCZ1jbUBVqRi2FVlTVw
5,Assenzio (feat. Stash & Levante),J-AX,478975,2017-01-06--2017-01-13,it,0DRKnh0BloxJHyhXkfbiX8
6,Let Me Love You,DJ Snake,465659,2017-01-06--2017-01-13,it,4pdPtRcBmOSQDlJ3Fk945m
7,Human,Rag'n'Bone Man,465585,2017-01-06--2017-01-13,it,58zsLZPvfflaiIbNWoA22O
8,Don't Wanna Know,Maroon 5,451514,2017-01-06--2017-01-13,it,5MFzQMkrl1FOOng9tq6R9r
9,Tutto Molto Interessante,Fabio Rovazzi,436884,2017-01-06--2017-01-13,it,5lyTvBqxtjyPray48fCWgj
10,Chantaje (feat. Maluma),Shakira,410620,2017-01-06--2017-01-13,it,6mICuAdrwEjh6Y6lroV2Kg
11,Starboy,The Weeknd,398142,2017-01-06--2017-01-13,it,5aAx2yezTd8zXrkmtKl66Z
12,Say You Won't Let Go,James Arthur,364741,2017-01-06--2017-01-13,it,5uCax9HTNlzGybIStD3vDh
13,In the Name of Love,Martin Garrix,362744,2017-01-06--2017-01-13,it,04DwTuZ2VBdJCCC5TROn7L
14,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,351248,2017-01-06--2017-01-13,it,3NdDpSvN911VPGivFlV5d0
15,Mercy,Shawn Mendes,343252,2017-01-06--2017-01-13,it,4TZy1wLyHec06pwgFYDh1a
16,My Way,Calvin Harris,340681,2017-01-06--2017-01-13,it,1vvNmPOiUuyCbgWmtc6yfm
17,Just Hold On,Steve Aoki,336193,2017-01-06--2017-01-13,it,3EmmCZoqpWOTY1g2GBwJoR
18,Ulisse,lowlow,329075,2017-01-06--2017-01-13,it,0QvhWAa8Xxia8Efct2rv7x
19,Call On Me - Ryan Riback Extended Remix,Starley,326804,2017-01-06--2017-01-13,it,78rIJddV4X0HkNAInEcYde
