Position,Track Name,Artist,Streams,date,region,spotify_id
1,Tusa,KAROL G,3041607,2020-01-03--2020-01-10,es,7k4t7uLgtOxPwTpFmtJNTY
2,Alocao (With Bad Gyal),Omar Montes,1960463,2020-01-03--2020-01-10,es,6RyuoOJXNzlVWpfC5xQyeI
3,Dance Monkey,Tones And I,1914971,2020-01-03--2020-01-10,es,1rgnBhdG2JDFTbYkYRZAku
4,+,Aitana,1829598,2020-01-03--2020-01-10,es,5Cbo7oz78gqkzV3EAM63VA
5,Zorra,Bad Gyal,1592756,2020-01-03--2020-01-10,es,0OP1RzrglC008kj79Httv3
6,Vete,Bad Bunny,1577604,2020-01-03--2020-01-10,es,5DxXgozhkPLgrbKFY91w0c
7,Indeciso,Reik,1560286,2020-01-03--2020-01-10,es,59s0s39NFWScuHDbHytI14
8,China,Anuel AA,1465806,2020-01-03--2020-01-10,es,2ksOAxtIxY8yElEWw8RhgK
9,RITMO (Bad Boys For Life),Black Eyed Peas,1450879,2020-01-03--2020-01-10,es,6cy3ki60hLwimwIje7tALf
10,Whine Up,Nicky Jam,1450041,2020-01-03--2020-01-10,es,2pWOMNQJW3g2zmGjP0Vkb0
11,Blanco,J Balvin,1443646,2020-01-03--2020-01-10,es,2rc7BkzO8qepMFAxHtOrXc
12,Hola - Remix,Dalex,1371361,2020-01-03--2020-01-10,es,5stPVcRqb4qixbafP9e8lt
13,Si por mi fuera,Beret,1326511,2020-01-03--2020-01-10,es,3W87IIdSOE63W0Qyhy7r2b
14,Aventura,Lunay,1269460,2020-01-03--2020-01-10,es,37zdqI4r1gswIzczSBkRon
15,Easy - Remix,Jhay Cortez,1193553,2020-01-03--2020-01-10,es,0Cn8NxJZz7zUlsaA3rXoIU
16,Fantasias,Rauw Alejandro,1182771,2020-01-03--2020-01-10,es,6mAN61JH0dzyZpWslS11jy
17,Se iluminaba,Fred De Palma,1107284,2020-01-03--2020-01-10,es,3VPOZWtj8mM89IiRNygxgS
18,Rueda,Chimbala,1052003,2020-01-03--2020-01-10,es,71NGDQ9vSPXm55pyWeAxKK
19,Sigues Con El,Dímelo Flow,1022609,2020-01-03--2020-01-10,es,7sQKy5vlPQllr0k9IjYJv3
20,Adicto (with Anuel AA & Ozuna),Tainy,1004868,2020-01-03--2020-01-10,es,3jbT1Y5MoPwEIpZndDDwVq
21,"Yo x Ti, Tu x Mi",ROSALÍA,926223,2020-01-03--2020-01-10,es,7BlBVFwvbWvcwNcUarQmjk
22,Fuera De Mi Mente,Lérica,919282,2020-01-03--2020-01-10,es,7bsqRe39lKOYX45FZpzP9o
23,Perreo en La Luna,Rich Music LTD,915694,2020-01-03--2020-01-10,es,0RDgqtvOHLwcI6yz9bjsZV
24,Hasta Que Salga el Sol,Ozuna,905228,2020-01-03--2020-01-10,es,0dDboLfmRNsTBscy4j3Rnl
25,Te Quemaste,Manuel Turizo,884773,2020-01-03--2020-01-10,es,4fj7e6Tc48Bmomwyz2Z2XC
26,La Rubia - Remix 2,La Nueva Escuela,836283,2020-01-03--2020-01-10,es,7KKTnv81z6DmfPIGsZWjOW
27,La Cama,Lunay,832154,2020-01-03--2020-01-10,es,0OoqRZXnSrgIUAha3iLKG1
28,B11 (feat. Myke Towers),Rvssian,830137,2020-01-03--2020-01-10,es,4o1DxRjMCHDwBiOKv88rOl
29,Si Te Vas,Sech,819724,2020-01-03--2020-01-10,es,6Y4PDQv4XjYjHLeLmvyOt0
30,Bellaquita - Remix,Dalex,803741,2020-01-03--2020-01-10,es,1Xnn1TPyr5h0hpRAT4B4EA
31,ROXANNE,Arizona Zervas,771276,2020-01-03--2020-01-10,es,696DnlkuDOXcMAnKlTgXXK
32,A Dónde Vamos,Morat,771109,2020-01-03--2020-01-10,es,671sG3ETDxC3L6qcGIrHRM
33,Prendio (Remix),Rvfv,763048,2020-01-03--2020-01-10,es,17VsiwLi1ovKYdVUqDieGC
34,Tabú,Pablo Alborán,761831,2020-01-03--2020-01-10,es,471HeGJPKw07MObixON0Um
35,Prendío,Rvfv,753117,2020-01-03--2020-01-10,es,1pUq8PePQRODKRKwY2nvC8
36,Fantasía,Ozuna,740241,2020-01-03--2020-01-10,es,40rXWke6SnXiGkSmaT8ZUr
37,Quizas,Rich Music LTD,717851,2020-01-03--2020-01-10,es,5Id5B3dxJZhPcV9GzgYZZe
38,Indios y Vaqueros,Sinsinati,712325,2020-01-03--2020-01-10,es,3u5GmyJP2MU3tEJgyiAG2T
39,Qué Bonito Es Querer,Manuel Carrasco,707542,2020-01-03--2020-01-10,es,6uzGmmQ4CuG9HvZktEy0LF
40,Memories,Maroon 5,700135,2020-01-03--2020-01-10,es,2b8fOow8UzyDFAE27YhOZM
41,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,688533,2020-01-03--2020-01-10,es,1ndyl3wJCFs872XZ3ztPk6
42,De Tranquilote,Danny Romero,685352,2020-01-03--2020-01-10,es,1IDFcb3cjkj2dhv3UaxX9b
43,Callaita,Bad Bunny,676298,2020-01-03--2020-01-10,es,2TH65lNHgvLxCKXM3apjxI
44,Yummy,Justin Bieber,667555,2020-01-03--2020-01-10,es,41L3O37CECZt3N7ziG2z7l
45,Contando Lunares (feat. Cruz Cafuné),Don Patricio,658197,2020-01-03--2020-01-10,es,6uW0PIRcyZLvkoonm763xD
46,Otro Trago - Remix,Sech,658061,2020-01-03--2020-01-10,es,4bTZeO72FwMa6wKOiqoynL
47,Falling,Trevor Daniel,633976,2020-01-03--2020-01-10,es,4TnjEaWOeW0eKTKIEvJyCa
48,No Me Conoce - Remix,Jhay Cortez,632276,2020-01-03--2020-01-10,es,4R8BJggjosTswLxtkw8V7P
49,Señorita,Shawn Mendes,621558,2020-01-03--2020-01-10,es,6v3KW9xbzN5yKLt9YKDYA2
50,105 F Remix,KEVVO,617170,2020-01-03--2020-01-10,es,1aUGxXCz9QimNkKeiJtzZ7
51,Que Calor (with J Balvin & El Alfa),Major Lazer,589935,2020-01-03--2020-01-10,es,1G2CAJeP7rCwOZjlSJ0Zw3
52,Con Altura,ROSALÍA,584935,2020-01-03--2020-01-10,es,2qG5sZ7Si6sdK74qLxedYM
53,Don't Start Now,Dua Lipa,561989,2020-01-03--2020-01-10,es,6WrI0LAC5M1Rw2MnX2ZvEg
54,Tutu,Camilo,557796,2020-01-03--2020-01-10,es,1nocRtwyNPVtGcIJqfgdzZ
55,Presiento,Morat,556782,2020-01-03--2020-01-10,es,2V4hc5gplg7EXlrRUvD4rp
56,Ella No Quiere Rosé,Rvfv,537031,2020-01-03--2020-01-10,es,6Aqeqb9rVNA1U6zuuxczQZ
57,Infeliz,Arcangel,529989,2020-01-03--2020-01-10,es,4z6wo6PJG4Fve45OXK6D9m
58,Goteo,Duki,521264,2020-01-03--2020-01-10,es,57kdZIOAaolxAjB67d2yU3
59,Me Equivocaré,Antonio José,519620,2020-01-03--2020-01-10,es,5zsvrbPy4w9nz067ViWprz
60,Que Tire Pa Lante,Daddy Yankee,506163,2020-01-03--2020-01-10,es,6RyaV7owmVU6fzEPE17sF1
61,Sueño (con Pablo Alborán),Beret,492173,2020-01-03--2020-01-10,es,71M1szVbVYZM5M6QlIm6aC
62,LowKey,Bryant Myers,473086,2020-01-03--2020-01-10,es,3aSZoM8ZylbB0xCBkGpNTg
63,Hookah,Bad Gyal,470579,2020-01-03--2020-01-10,es,4piZ5m1vZGDkfyHga5U97m
64,LA CANCIÓN,J Balvin,468869,2020-01-03--2020-01-10,es,0fea68AdmYNygeTGI4RC18
65,Me vas a ver,Beret,441398,2020-01-03--2020-01-10,es,3iVwzH29gquHzkrZuy3M4w
66,MALA SANTA,Becky G,439299,2020-01-03--2020-01-10,es,5e50NiIlOc2YJIftHzoehd
67,Bésame,David Bisbal,437428,2020-01-03--2020-01-10,es,7kcSKOl5rR4zGxFNYhkeRX
68,bad guy,Billie Eilish,436586,2020-01-03--2020-01-10,es,2Fxmhks0bxGSBdJ92vM42m
69,Con La Miel En Los Labios,Aitana,436505,2020-01-03--2020-01-10,es,2QJcrJNa4KGxQ6bw0MH3Zx
70,No Te Debí Besar,C. Tangana,435787,2020-01-03--2020-01-10,es,1KdwnsWOvhM53vezy5ROuf
71,Me Quedo,Aitana,435751,2020-01-03--2020-01-10,es,6Nqi1fWKYXrVXmF3RtQbSf
72,Soltera - Remix,Lunay,433234,2020-01-03--2020-01-10,es,4t9a07PAghtQMRAIP9FQ7Z
73,"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX",DJ Snake,426386,2020-01-03--2020-01-10,es,5QXQy0f2q8wJNpPwJtjifx
74,Disparos,Dani Fernández,425510,2020-01-03--2020-01-10,es,2F75mXaavRl0hm3rtM15cq
75,Me llama,Beret,422151,2020-01-03--2020-01-10,es,06ovTE7S3xHfpqxNZxVfSn
76,No Vuelvas Más,Darell,421085,2020-01-03--2020-01-10,es,0mcBgVRVsvESTkEyVHt7Ue
77,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,418636,2020-01-03--2020-01-10,es,7h0d2h0fUmzbs7zeFigJPn
78,Soldadito de Hierro,Nil Moliner,417440,2020-01-03--2020-01-10,es,3DfUO7e24abpbIreUpUK4B
79,Con Calma,Daddy Yankee,413954,2020-01-03--2020-01-10,es,5w9c2J52mkdntKOmRLeM2m
80,DOSIS,Dvicio,409722,2020-01-03--2020-01-10,es,0cDumxvNKhydP1Cmon2S6E
81,everything i wanted,Billie Eilish,406484,2020-01-03--2020-01-10,es,3ZCTVFBt2Brf31RLEnCkWJ
82,Calma - Remix,Pedro Capó,403101,2020-01-03--2020-01-10,es,5iwz1NiezX7WWjnCgY5TH4
83,Djadja,Aya Nakamura,391726,2020-01-03--2020-01-10,es,7sKDftgGirHWTVFMtJoDoh
84,Someone You Loved,Lewis Capaldi,390508,2020-01-03--2020-01-10,es,7qEHsqek33rTcFNT9PFqLf
85,La Playa - Remix,Myke Towers,388681,2020-01-03--2020-01-10,es,70zg99pT51vB4wlMS7e4q7
86,Piensan,Haze,387334,2020-01-03--2020-01-10,es,0i9oiUkWOgvtnjkr0fa3XN
87,Gan-Ga - Remix,Bryant Myers,386940,2020-01-03--2020-01-10,es,27qRmG3zOWPvMYUkpPdQ1g
88,Ayy Macarena,Tyga,382800,2020-01-03--2020-01-10,es,6LcauUZjF1eXQrgqMUecHX
89,Cuerpo en Venta,Noriel,378374,2020-01-03--2020-01-10,es,2B94bbI1a4LyBpK1439oP7
90,Circles,Post Malone,374193,2020-01-03--2020-01-10,es,21jGcNKet2qwijlDFuPiPb
91,I Don't Care (with Justin Bieber),Ed Sheeran,372900,2020-01-03--2020-01-10,es,0hVXuCcriWRGvwMV1r5Yn9
92,Easy,Jhay Cortez,370431,2020-01-03--2020-01-10,es,7fTsw0IKbbPDN19keS32tF
93,Déjate Querer,Lalo Ebratt,367533,2020-01-03--2020-01-10,es,3mN2DtljBhnrIpc3Nu2pJ8
94,A Escondidas,$kyhook,364898,2020-01-03--2020-01-10,es,7754vHc34U2wQMIJFWRhVK
95,Lola Bunny,Lola Indigo,360838,2020-01-03--2020-01-10,es,7IzbHY75UhGztauT7U5eKb
96,Lo siento,Beret,354584,2020-01-03--2020-01-10,es,5o2M4yHxo9kyNLdgihFeV1
97,15+1,El Greco,352661,2020-01-03--2020-01-10,es,0JFSOhVbn5I4wCrTgT8bnZ
98,Vas A Quedarte,Aitana,351899,2020-01-03--2020-01-10,es,0fwIHsKXNEcb57u2um7z9I
